Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
1. Aerospace Engineering Sciences (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,13,2,1,0
,3. Black,2,2,1,0
,4. Hispanic,19,8,0,0
,5. Pacific Islander,0,0,0,0
,6. White,133,30,3,1
,7. Two or More,14,3,0,0
,8. Nonresident Alien,12,2,0,0
,9. Unknown,2,1,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
2. Chemical and Biological Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,1,4,0,0
,3. Black,0,0,0,0
,4. Hispanic,4,2,0,0
,5. Pacific Islander,0,0,0,0
,6. White,7,14,0,0
,7. Two or More,2,0,0,0
,8. Nonresident Alien,0,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
3. Chemical Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,3,1,0,0
,3. Black,0,0,0,0
,4. Hispanic,2,3,0,0
,5. Pacific Islander,0,0,0,0
,6. White,14,7,1,0
,7. Two or More,3,1,0,0
,8. Nonresident Alien,4,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
4. Applied Computer Science Post Bachelors (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,0,0,0,0
,4. Hispanic,0,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,0,0,0,0
,7. Two or More,0,0,0,0
,8. Nonresident Alien,0,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
5. Computer Science (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,29,10,1,0
,3. Black,4,0,0,0
,4. Hispanic,19,4,0,0
,5. Pacific Islander,0,0,0,0
,6. White,123,15,4,1
,7. Two or More,10,4,0,0
,8. Nonresident Alien,13,2,0,1
,9. Unknown,2,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
6. Mechanical Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,8,4,0,0
,3. Black,1,0,0,0
,4. Hispanic,25,4,1,0
,5. Pacific Islander,1,0,0,0
,6. White,153,37,8,1
,7. Two or More,16,2,1,0
,8. Nonresident Alien,8,3,1,0
,9. Unknown,7,1,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
7. Creative Technology and Design (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,4,6,0,0
,3. Black,0,0,0,0
,4. Hispanic,3,1,0,0
,5. Pacific Islander,0,0,0,0
,6. White,15,18,1,1
,7. Two or More,5,5,0,0
,8. Nonresident Alien,0,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
8. Applied Mathematics (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,0,0,0,0
,4. Hispanic,0,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,7,7,0,1
,7. Two or More,2,1,0,0
,8. Nonresident Alien,1,0,0,0
,9. Unknown,0,0,1,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
9. Biomedical Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,5,10,0,0
,3. Black,2,0,0,0
,4. Hispanic,4,2,0,0
,5. Pacific Islander,0,0,0,0
,6. White,16,23,0,0
,7. Two or More,5,1,0,0
,8. Nonresident Alien,0,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
10. Engineering Physics (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,1,1,0,0
,3. Black,0,0,0,0
,4. Hispanic,0,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,10,1,0,0
,7. Two or More,1,0,0,0
,8. Nonresident Alien,1,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
11. Engineering Plus (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,2,0,0
,3. Black,0,0,0,0
,4. Hispanic,3,2,1,0
,5. Pacific Islander,0,0,0,0
,6. White,12,8,0,0
,7. Two or More,0,1,1,0
,8. Nonresident Alien,1,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
12. Environmental Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,1,0,0
,3. Black,0,0,0,0
,4. Hispanic,7,3,0,0
,5. Pacific Islander,0,0,0,0
,6. White,11,16,0,0
,7. Two or More,0,1,0,0
,8. Nonresident Alien,0,2,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
13. Architectural Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,0,0,0,0
,4. Hispanic,3,3,0,0
,5. Pacific Islander,0,0,0,0
,6. White,12,11,0,0
,7. Two or More,0,0,0,0
,8. Nonresident Alien,3,10,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
14. Civil Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,2,1,0,0
,3. Black,0,1,0,0
,4. Hispanic,5,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,13,13,0,0
,7. Two or More,4,0,0,0
,8. Nonresident Alien,3,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
15. Electrical and Computer Engineering (B.S,),,
,1. American Indian,0,0,0,0
,2. Asian,5,1,0,0
,3. Black,3,0,0,0
,4. Hispanic,6,1,0,0
,5. Pacific Islander,0,0,0,0
,6. White,27,0,1,0
,7. Two or More,3,1,0,0
,8. Nonresident Alien,4,1,1,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
16. Electrical Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,2,2,0,0
,3. Black,0,0,0,0
,4. Hispanic,7,1,0,0
,5. Pacific Islander,0,0,0,0
,6. White,24,6,2,2
,7. Two or More,1,1,0,0
,8. Nonresident Alien,6,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
17. Open Option,,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,0,0,0,0
,4. Hispanic,0,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,1,0,0,0
,7. Two or More,0,0,0,0
,8. Nonresident Alien,0,0,0,0
,9. Unknown,0,0,0,0


