Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
1. Aerospace Engineering Sciences (B.S.),,
,1. American Indian,1,0,0,0
,2. Asian,17,9,0,0
,3. Black,1,2,0,0
,4. Hispanic,25,10,3,0
,5. Pacific Islander,0,0,0,0
,6. White,119,33,1,1
,7. Two or More,19,5,0,0
,8. Nonresident Alien,7,7,0,0
,9. Unknown,4,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
2. Chemical and Biological Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,2,1,0,0
,3. Black,1,0,0,0
,4. Hispanic,1,3,0,0
,5. Pacific Islander,0,0,0,0
,6. White,11,12,0,0
,7. Two or More,2,0,0,0
,8. Nonresident Alien,1,0,0,0
,9. Unknown,0,1,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
3. Chemical Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,2,3,0,0
,3. Black,0,0,0,0
,4. Hispanic,2,2,0,0
,5. Pacific Islander,0,0,0,0
,6. White,10,4,0,0
,7. Two or More,2,1,0,0
,8. Nonresident Alien,5,1,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
4. Applied Computer Science Post Bachelors (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,0,0,0,0
,4. Hispanic,0,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,0,0,0,0
,7. Two or More,0,0,0,0
,8. Nonresident Alien,0,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
5. Computer Science (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,33,11,1,0
,3. Black,5,1,0,0
,4. Hispanic,13,7,0,0
,5. Pacific Islander,0,0,0,0
,6. White,73,13,0,0
,7. Two or More,18,2,0,0
,8. Nonresident Alien,13,5,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
6. Mechanical Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,10,4,0,0
,3. Black,1,1,1,0
,4. Hispanic,24,5,0,0
,5. Pacific Islander,0,0,0,0
,6. White,129,23,3,1
,7. Two or More,11,3,0,0
,8. Nonresident Alien,3,0,0,0
,9. Unknown,3,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
7. Creative Technology and Design (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,3,4,0,0
,3. Black,1,0,0,0
,4. Hispanic,1,2,1,0
,5. Pacific Islander,0,0,0,0
,6. White,14,14,0,0
,7. Two or More,3,1,0,0
,8. Nonresident Alien,0,0,0,0
,9. Unknown,1,1,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
8. Applied Mathematics (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,0,0,0,0
,4. Hispanic,1,1,0,0
,5. Pacific Islander,0,0,0,0
,6. White,9,4,0,0
,7. Two or More,0,0,0,0
,8. Nonresident Alien,2,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
9. Biomedical Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,3,8,0,0
,3. Black,0,0,0,0
,4. Hispanic,2,2,0,0
,5. Pacific Islander,0,0,0,0
,6. White,14,30,2,0
,7. Two or More,1,10,0,0
,8. Nonresident Alien,0,1,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
10. Engineering Physics (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,0,0,0,0
,4. Hispanic,2,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,8,2,0,0
,7. Two or More,1,1,0,0
,8. Nonresident Alien,1,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
11. Engineering Plus (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,1,0,0
,3. Black,0,0,0,0
,4. Hispanic,1,0,0,0
,5. Pacific Islander,0,0,0,0
,6. White,11,7,0,1
,7. Two or More,0,0,0,0
,8. Nonresident Alien,0,0,0,0
,9. Unknown,0,0,0,0


Major,Ethnicity,Full-Time Male,Full-Time Female,Part-Time Male,Part-Time Female
12. Environmental Engineering (B.S.),,
,1. American Indian,0,0,0,0
,2. Asian,0,0,0,0
,3. Black,1,0,0,1
,4. Hispanic,2,4,0,0
,5. Pacific Islander,0,1,0,0
